"Topic","Words","Date","Market"
32,"card credit payment debit greeting balance pay money sim birthday graphic reward travel online transfer apply account purchase visa loan",2018-11-15,"en-GB"
33,"london street east station england kingdom south west road united borough city central bridge tower underground king theatre royal greater",2018-11-15,"en-GB"
34,"file open pdf folder format document program extension click text convert drive computer software excel select want type adobe application",2018-11-15,"en-GB"
35,"crossword clue answer puzzle solver anagram synonym solution daily possible definition question related seen spotted solve able mirror shown crosswordnexuscom",2018-11-15,"en-GB"
36,"restaurant review tripadvisor bar menu pub dining rated unbiased table ranked traveller cuisine inn location read photo italian rating candid",2018-11-15,"en-GB"
37,"ireland northern united england kingdom scotland wale brexit belfast country irish state national minister european union government britain theresa north",2018-11-15,"en-GB"
38,"google map chrome search web webpage gmail image browser android exactly view help feature special apps looking world driving app",2018-11-15,"en-GB"
39,"football sport league live team fixture result sky premier score match rugby player cup england season soccer table cricket goal",2018-11-15,"en-GB"
4,"house price average road sold property postcode checker value exactly tool rightmove information registry current land based street data historic",2018-11-15,"en-GB"
40,"dog pet puppy cat animal breed rescue rehome rehoming kennel sell training vet terrier petshomes owner grooming classified veterinary breeder",2018-11-15,"en-GB"
41,"sale used new dealer vehicle gumtree ford van bmw classified model motor hand sell audi second auto site bike range",2018-11-15,"en-GB"
42,"movie watch online film episode series season cinema channel streaming putlocker stream trailer netflix queue subtitle star drama dvd registration",2018-11-15,"en-GB"
43,"time table zone clock opening hour current sunrise sunset dst minute date gmt daylight cinema difference long multiplication period moonrise",2018-11-15,"en-GB"
44,"holiday cottage book calendar travel date beach term break cruise destination inclusive family package resort accommodation coach discover deal tui",2018-11-15,"en-GB"
45,"food recipe cake chicken healthy make chocolate diet delicious drink meal dish good eat easy calorie sugar cook fruit ingredient",2018-11-15,"en-GB"
46,"bank banking account lloyd loan financial barclays mortgage money online plc branch saving credit payment hsbc personal scotland internet natwest",2018-11-15,"en-GB"
47,"data use cooky website site information computer using excel click page access web user server software value protection internet network",2018-11-15,"en-GB"
48,"service customer support contact provide offer provider team help repair providing provides access bus online financial client advice specialist solution",2018-11-15,"en-GB"
49,"profile linkedin professional view community listed complete named largest job world connection discover similar exchange idea join david leverage network",2018-11-15,"en-GB"
5,"school primary academy pupil secondary education college comparison high term welcome teacher parent girl catholic date list boy community independent",2018-11-15,"en-GB"
50,"insurance policy cover quote travel claim compare national insurer broker driver life financial home pet vehicle need liability cost pay",2018-11-15,"en-GB"
51,"office microsoft excel powerpoint post outlook version onedrive document onenote spreadsheet presentation collaborate furniture chair home registered head online desk",2018-11-15,"en-GB"
52,"cell blood cause body pain disease symptom cancer heart treatment type muscle pressure skin condition common patient infection function effect",2018-11-15,"en-GB"
53,"gcse paper math question resource exam level teacher aqa revision learning english edexcel student science teaching language mark skill worksheet",2018-11-15,"en-GB"
54,"inch convert foot conversion calculator unit centimeter meter stone table length formula pound equal kilogram millimeter metric size square weight",2018-11-15,"en-GB"
55,"black friday deal white monday november sale offer amazon cyber discount ops big exclusive tablet laptop thanksgiving xbox curry color",2018-11-15,"en-GB"
56,"email password account login address sign username log access mail enter user click outlook reset forgotten forgot send using gmail",2018-11-15,"en-GB"
57,"business management marketing small solution customer market directory plan software help finance strategy development manager enterprise industry accounting project local",2018-11-15,"en-GB"
58,"delivery store buy order online book amazon price low eligible shopping everyday range selection product collect today isbn shop tesco",2018-11-15,"en-GB"
59,"centre city manchester garden medical street birmingham town glasgow york located west location leisure leeds shopping liverpool road edinburgh new",2018-11-15,"en-GB"
6,"property sale agent estate flat rent rightmove house bedroom search portal developer letting buy leading datadriven zoopla home primelocation largest",2018-11-15,"en-GB"
60,"light led lighting bulb lamp switch ceiling outdoor white battery wall color blue garden solar colour red night sensor fitting",2018-11-15,"en-GB"
61,"video instagram post photo follower youtube tweet channel family friend latest love share content upload queue subscribe sign hashtag camera",2018-11-15,"en-GB"
62,"world war country british history star life battle army largest soldier military germany german american fact state britain story france",2018-11-15,"en-GB"
63,"council planning housing local county application postcode borough district area information authority town parish city plan band east development benefit",2018-11-15,"en-GB"
64,"gift perfect birthday idea personalised present item box baby selection toy chocolate unique shipping voucher girl wedding set occasion hamper",2018-11-15,"en-GB"
65,"bbc radio live station listen iplayer channel programme presenter audio broadcast internet need television music series broadcasting online bitesize stream",2018-11-15,"en-GB"
66,"test driving vehicle speed theory testing quiz question driver blood licence check practice broadband drive result score sample dvla answer",2018-11-15,"en-GB"
67,"club golf course member training swimming pool gym fitness tee membership hole welcome rugby leisure golfer class bridge volkswagen green",2018-11-15,"en-GB"
68,"law court act legal work solicitor right case change pension regulation employee form state rule government firm police employer contract",2018-11-15,"en-GB"
69,"health mental safety social hospital medical wellbeing patient practice people care information risk work healthcare surgery public training assessment trust",2018-11-15,"en-GB"
